TypeofCancer,Compound,CID,CAS,Trend,Sample,TypeofSampl,TypeofControl,Formula
Colorectal,phenyl N-methylcarbamate,16034,1943-79-9,Decrease,in vivo,Blood samples from patients with colon-rectal cancer,Blood samples from healthy individuals,C8H9NO2
Colorectal,2-ethylhexan-1-ol,7720,104-76-7,Decrease,in vivo,Blood samples from patients with colon-rectal cancer,Blood samples from healthy individuals,C8H18O
Colorectal,"(3E,5Z)-6-tert-butyl-2,2,9,9-tetramethyldeca-3,5-dien-7-yne",5364982,-,Decrease,in vivo,Blood samples from patients with colon-rectal cancer,Blood samples from healthy individuals,C18H30
Colorectal,character(0),-,character(0),Increase,in vivo,Blood samples from patients with colon-rectal cancer,Blood samples from healthy individuals,character(0)
Colorectal,hexanal,6184,66-25-1,Decrease,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C6H12O
Colorectal,heptanal,8130,111-71-7,Decrease,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C7H14O
Colorectal,(Z)-2-methyl-3-phenylprop-2-enal,5354896,101-39-3,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C10H10O
Colorectal,heptan-3-one,7802,106-35-4,Metabolized,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C7H14O
Colorectal,"1,2,4-trimethylbenzene",7247,95-63-6,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C9H12
Colorectal,1-methyl-4-propan-2-ylbenzene,7463,99-87-6,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C10H14
Colorectal,"1,1,6-trimethyl-2H-naphthalene",121677,30364-38-6,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C13H16
Colorectal,"1,4,5-trimethylnaphthalene",16478,2131-41-1,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C13H14
Colorectal,anisole,7519,100-66-3,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C7H8O
Colorectal,octan-1-ol,957,111-87-5,Decrease,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C8H18O
Colorectal,4-methylphenol,2879,106-44-5,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C7H8O
Colorectal,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene",7461,99-85-4,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C10H16
Colorectal,"4,7,7-trimethylbicyclo[2.2.1]hept-2-ene",10047,464-17-5,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C10H16
Colorectal,(methyldisulfanyl)methane,12232,624-92-0,Decrease,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C2H6S2
Colorectal,2-methoxythiophene,85610,16839-97-7,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C5H6OS
Colorectal,"2,7-dimethylquinoline",7138,93-37-8,Increase,in vivo,Urine samples from patients with colon cancer,Urine samples from healthy individuals,C11H11N
Colorectal,sulfane,402,04-06-7783,Increase,Faeces,Faeces samples from patients with colorectal cancer,Faeces samples from healthy individuals,H2S
Colorectal,methylsulfanylmethane,1068,75-18-3,Increase,Faeces,Faeces samples from patients with colorectal cancer,Faeces samples from healthy individuals,C2H6S
Colorectal,(methyldisulfanyl)methane,12232,624-92-0,Increase,Faeces,Faeces samples from patients with colorectal cancer,Faeces samples from healthy individuals,C2H6S2
Colorectal,1-phenylbut-1-enylbenzene,519378,-,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C16H16
Colorectal,"1,2-xylene;1,3-xylene;1,4-xylene",6850715,128686-03-3,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C24H30
Colorectal,2-amino-8-methyl-5-propan-2-ylazulene-1-carbonitrile,614282,-,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C15H16N2
Colorectal,1-iodononane,20275,4282-42-2,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H19I
Colorectal,2-tert-butylsulfanylacetic acid,90460,24310-22-3,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H12O2S
Colorectal,[4-(4-cyanophenyl)phenyl] 4-(4-propylcyclohexyl)benzoate,615304,-,Decrease,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C29H29NO2
Colorectal,nonanal,31289,124-19-6,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H18O
Colorectal,decanal,8175,112-31-2,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C10H20O
Colorectal,4-methylpentan-2-one,7909,108-10-1,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H12O
Colorectal,2-methylbutane,6556,78-78-4,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C5H12
Colorectal,4-methyloctane,16665,2216-34-4,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C9H20
Colorectal,4-methylundecane,520454,-,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C12H26
Colorectal,2-methylpentane,7892,107-83-5,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H14
Colorectal,3-methylpentane,7282,96-14-0,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H14
Colorectal,methylcyclopentane,7296,96-37-7,-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H12
Colorectal,cyclohexane,8078,110-82-7,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C6H12
Colorectal,methylcyclohexane,7962,108-87-2,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C7H14
Colorectal,character(0),-,character(0),-,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,character(0)
Colorectal,"penta-1,2-diene",11588,591-95-7,Increase,in vivo,Breath samples from patients with colorectal cancer,Breath samples from healthy individuals,C5H8
